date,open,high,low,close,volume
2021-11-08,18.38,18.60,18.13,18.31,1204520
2021-11-09,18.26,18.31,17.91,18.22,673430
2021-11-09,18.26,18.31,17.91,18.22,673430
2021-11-10,18.37,19.01,17.99,18.98,1695570
2021-11-10,18.37,19.01,17.99,18.98,1695570
2021-11-11,18.95,20.84,18.89,20.79,3151020
2021-11-11,18.95,20.84,18.89,20.79,3151020
2021-11-12,20.50,20.50,19.41,19.76,2065920
2021-11-12,20.50,20.50,19.41,19.76,2065920
2021-11-15,19.56,19.59,19.12,19.40,959332
2021-11-15,19.56,19.59,19.12,19.40,959332
2021-11-16,19.29,19.57,19.21,19.24,593989
2021-11-16,19.29,19.57,19.21,19.24,593989
2021-11-17,19.23,19.53,19.09,19.46,623750
2021-11-17,19.23,19.53,19.09,19.46,623750
2021-11-18,19.35,19.40,18.98,19.09,609996
2021-11-18,19.35,19.40,18.98,19.09,609996
2021-11-19,19.01,20.28,18.92,19.90,1308290
2021-11-19,19.01,20.28,18.92,19.90,1308290
2021-11-22,19.90,19.95,19.19,19.22,877584
2021-11-22,19.90,19.95,19.19,19.22,877584
2021-11-23,19.19,19.44,19.10,19.24,563436
2021-11-23,19.19,19.44,19.10,19.24,563436
2021-11-24,19.12,19.38,19.00,19.30,827367
2021-11-24,19.12,19.38,19.00,19.30,827367
2021-11-25,19.22,19.35,19.07,19.22,518123
2021-11-25,19.22,19.35,19.07,19.22,518123
2021-11-26,19.15,19.15,18.95,18.99,504023
2021-11-26,19.15,19.15,18.95,18.99,504023
2021-11-29,18.75,18.87,18.35,18.46,718596
2021-11-29,18.75,18.87,18.35,18.46,718596
2021-11-30,18.44,18.66,18.16,18.26,713092
2021-11-30,18.44,18.66,18.16,18.26,713092
2021-12-01,18.26,18.64,18.21,18.47,674516
2021-12-01,18.26,18.64,18.21,18.47,674516
2021-12-02,18.40,19.09,18.22,19.03,1017860
2021-12-02,18.40,19.09,18.22,19.03,1017860
2021-12-03,19.03,19.35,18.59,19.27,1095330
2021-12-03,19.03,19.35,18.59,19.27,1095330
2021-12-06,19.60,20.15,19.46,19.49,1255710
2021-12-06,19.60,20.15,19.46,19.49,1255710
2021-12-07,20.15,20.30,19.70,19.94,1522410
2021-12-07,20.15,20.30,19.70,19.94,1522410
2021-12-08,19.94,19.98,19.50,19.81,924764
2021-12-08,19.94,19.98,19.50,19.81,924764
2021-12-09,19.88,20.60,19.87,20.40,1314340
2021-12-09,19.88,20.60,19.87,20.40,1314340
2021-12-10,20.20,20.44,20.01,20.16,771890
2021-12-10,20.20,20.44,20.01,20.16,771890
2021-12-13,20.08,20.54,19.87,19.90,973553
2021-12-13,20.08,20.54,19.87,19.90,973553
2021-12-14,19.91,19.95,19.43,19.50,779669
2021-12-14,19.91,19.95,19.43,19.50,779669
